id,key,value,type
30633054,source,PGS,regular
30633058,source,PGS,regular
30633061,source,PGS,regular
30633062,source,PGS,regular
30633065,source,PGS,regular
30633066,source,PGS,regular
30633068,source,PGS,regular
30633074,source,PGS,regular
30633087,source,PGS,regular
30633096,source,PGS,regular
30633108,source,PGS,regular
30633125,source,PGS,regular
30633133,source,PGS,regular
30633136,source,PGS,regular
30633139,source,PGS,regular
30633140,source,PGS,regular
30633148,source,PGS,regular
30633155,source,PGS,regular
30633168,source,PGS,regular
30633212,source,PGS,regular
30633215,source,PGS,regular
30633218,source,PGS,regular
30633219,source,PGS,regular
30633221,source,PGS,regular
30633225,source,PGS,regular
30633227,source,PGS,regular
30633230,source,PGS,regular
30633235,source,PGS,regular
30633239,source,PGS,regular
30633241,source,PGS,regular
30633243,source,PGS,regular
30633246,source,PGS,regular
30633248,source,PGS,regular
30633251,source,PGS,regular
30633263,source,PGS,regular
30633264,source,PGS,regular
30633267,source,PGS,regular
30633268,source,PGS,regular
30633272,source,PGS,regular
30633277,source,PGS,regular
30633278,source,PGS,regular
30633284,source,PGS,regular
30633289,source,PGS,regular
30633292,source,PGS,regular
30633294,source,PGS,regular
30633295,source,PGS,regular
30633297,source,PGS,regular
30633298,source,PGS,regular
30633305,source,PGS,regular
30633306,source,PGS,regular
30633318,source,PGS,regular
30633320,source,PGS,regular
30633322,source,PGS,regular
30633324,source,PGS,regular
30633337,source,PGS,regular
30633344,source,PGS,regular
30633355,source,PGS,regular
30633364,source,PGS,regular
30633371,source,PGS,regular
30633372,source,PGS,regular
30633374,source,PGS,regular
30633375,source,PGS,regular
30633377,source,PGS,regular
30633379,source,PGS,regular
30633381,source,PGS,regular
30633384,source,PGS,regular
30633386,source,PGS,regular
30633390,source,PGS,regular
30633395,source,PGS,regular
30633396,source,PGS,regular
30633481,source,PGS,regular
30633484,source,PGS,regular
30633488,source,PGS,regular
30633491,source,PGS,regular
30633495,source,PGS,regular
30633499,source,PGS,regular
30633509,source,PGS,regular
30633511,source,PGS,regular
30633512,source,PGS,regular
30633515,source,PGS,regular
30633517,source,PGS,regular
30633523,source,PGS,regular
30633525,source,PGS,regular
30633527,source,PGS,regular
30633531,source,PGS,regular
30633535,source,PGS,regular
30633537,source,PGS,regular
30633539,source,PGS,regular
30633540,source,PGS,regular
30633541,source,PGS,regular
30633548,source,PGS,regular
30633549,source,PGS,regular
30633560,source,PGS,regular
30633561,source,PGS,regular
30633562,source,PGS,regular
30633565,source,PGS,regular
30633569,source,PGS,regular
30633572,source,PGS,regular
30633577,source,PGS,regular
30633580,source,PGS,regular
30633584,source,PGS,regular
30633585,source,PGS,regular
30633587,source,PGS,regular
30633588,source,PGS,regular
30633592,source,PGS,regular
30633598,source,PGS,regular
30633599,source,PGS,regular
30633601,source,PGS,regular
30633602,source,PGS,regular
30633603,source,PGS,regular
30633605,source,PGS,regular
30633606,source,PGS,regular
30633608,source,PGS,regular
30633610,source,PGS,regular
30633615,source,PGS,regular
30633618,source,PGS,regular
30633619,source,PGS,regular
30633623,source,PGS,regular
